64   512   0.0000 0.0266

64   1024   0.0000 0.0264

64   2048   0.0000 0.0262

128   1   0.0000 0.1596

128   2   0.0000 0.1001

128   4   0.0000 0.0804

128   8   0.0000 0.0689

128   16   0.0000 0.0620

128   32   0.0000 0.0554

128   64   0.0000 0.0486

128   128   0.0000 0.0374

128   256   0.0000 0.0289

128   512   0.0000 0.0266

128   1024   0.0000 0.0264

128   2048   0.0000 0.0262

256   1   0.0000 0.1596

256   2   0.0000 0.1001

256   4   0.0000 0.0804

256   8   0.0000 0.0689

256   16   0.0000 0.0620

256   32   0.0000 0.0554

256   64   0.0000 0.0486

256   128   0.0000 0.0374

256   256   0.0000 0.0289

256   512   0.0000 0.0266

256   1024   0.0000 0.0264

256   2048   0.0000 0.0262

512   1   0.0000 0.1596

512   2   0.0000 0.1001

512   4   0.0000 0.0804

512   8   0.0000 0.0689

512   16   0.0000 0.0620

512   32   0.0000 0.0554

512   64   0.0000 0.0486

512   128   0.0000 0.0374

512   256   0.0000 0.0289

512   512   0.0000 0.0266

512   1024   0.0000 0.0264

512   2048   0.0000 0.0262

1024   1   0.0000 0.1596

1024   2   0.0000 0.1001

1024   4   0.0000 0.0804

1024   8   0.0000 0.0689

1024   16   0.0000 0.0620

1024   32   0.0000 0.0554

1024   64   0.0000 0.0486

1024   128   0.0000 0.0374

1024   256   0.0000 0.0289

1024   512   0.0000 0.0266

1024   1024   0.0000 0.0264

1024   2048   0.0000 0.0262

2048   1   0.0000 0.1596

2048   2   0.0000 0.1001

2048   4   0.0000 0.0804

2048   8   0.0000 0.0689

2048   16   0.0000 0.0620

2048   32   0.0000 0.0554

2048   64   0.0000 0.0486

2048   128   0.0000 0.0374

2048   256   0.0000 0.0289

2048   512   0.0000 0.0266

2048   1024   0.0000 0.0264

2048   2048   0.0000 0.0262

16   1   0.0000 0.0437

16   2   0.0000 0.0323

16   4   0.0000 0.0266

16   8   0.0000 0.0237

16   16   0.0000 0.0223

16   32   0.0000 0.0216

16   64   0.0000 0.0212

16   128   0.0000 0.0210

16   256   0.0000 0.0210

16   512   0.0000 0.0209

16   1024   0.0000 0.0209

16   2048   0.0000 0.0209

32   1   0.0000 0.0437

32   2   0.0000 0.0323

32   4   0.0000 0.0266

32   8   0.0000 0.0237

32   16   0.0000 0.0223

32   32   0.0000 0.0216

32   64   0.0000 0.0212

32   128   0.0000 0.0210

32   256   0.0000 0.0210

32   512   0.0000 0.0209

32   1024   0.0000 0.0209

32   2048   0.0000 0.0209

64   1   0.0000 0.0437

64   2   0.0000 0.0323

64   4   0.0000 0.0266

64   8   0.0000 0.0237

64   16   0.0000 0.0223

64   32   0.0000 0.0216

64   64   0.0000 0.0212

64   128   0.0000 0.0210

64   256   0.0000 0.0210

64   512   0.0000 0.0209

64   1024   0.0000 0.0209

64   2048   0.0000 0.0209

128   1   0.0000 0.0437

128   2   0.0000 0.0323

128   4   0.0000 0.0266

128   8   0.0000 0.0237

128   16   0.0000 0.0223

128   32   0.0000 0.0216

128   64   0.0000 0.0212

128   128   0.0000 0.0210

128   256   0.0000 0.0210

128   512   0.0000 0.0209

128   1024   0.0000 0.0209

128   2048   0.0000 0.0209

256   1   0.0000 0.0437

256   2   0.0000 0.0323

256   4   0.0000 0.0266

256   8   0.0000 0.0237

256   16   0.0000 0.0223

256   32   0.0000 0.0216

256   64   0.0000 0.0212

